Datetime,Tweet Id,Text,Topic
1/16/2021 19:12,1.35052E+18,"@FredTJoseph @LesleyAnnBrandt @AOC I have never understood how people think racism is ok, I am blessed by God to kn… https://t.co/dATs3x5KFZ",AOC
1/16/2021 19:11,1.35052E+18,"RT @hunterw: .@AOC: ""Mark Zuckerberg and Facebook bear partial responsibility for Wednesday's events. Period.""",AOC
1/16/2021 19:11,1.35052E+18,"@PhotoMojoEye @guiltylily @AOC Hey Kevin, as far as we know, all these abortions are just killing the next generati… https://t.co/JPwCUxw5uK",AOC
1/16/2021 19:11,1.35052E+18,His true colors folks! There are quite a few eyebrow raising racists newly elected to congress. How did this puss o… https://t.co/tA9RPQnNRA,AOC
1/16/2021 19:11,1.35052E+18,@Pierre39839349 @AOC Not if we let everybody out that is in there for a non-violent drug offense. 👍,AOC
1/16/2021 19:11,1.35052E+18,@PhotoMojoEye @AOC Abolish sex for you. Misogynists should be referred to masturbation.,AOC
1/16/2021 19:11,1.35052E+18,100% https://t.co/qg1OZSjQkU,AOC
1/16/2021 19:11,1.35052E+18,RT @johniadarola: Tucker Carlson and Fox have spent 2 years whipping their viewers into a murderous frenzy against anything @AOC or @IlhanM…,AOC
1/16/2021 19:11,1.35052E+18,"@trevken Tim literally argued that even if the Trump supporters came across AOC, they wouldn't kill her because the… https://t.co/su4nrXe49H",AOC
1/16/2021 19:11,1.35052E+18,RT @rscook: this bear is clearly a social democrat  @AOC 🐻  https://t.co/5i3BSNVLD7,AOC
1/16/2021 19:11,1.35052E+18,"RT @Luisa4Europe: #AOC hat bereits alles zur Merz-Rede gesagt: ""Having daughters doesn’t get you a sexism free pass."" #wegenmorgen #Fraueng…",AOC
1/16/2021 19:11,1.35052E+18,"RT @hunterw: .@AOC: ""Mark Zuckerberg and Facebook bear partial responsibility for Wednesday's events. Period.""",AOC
1/16/2021 19:11,1.35052E+18,@AOC Those Christian values,AOC
1/16/2021 19:11,1.35052E+18,"While speaking out against the ultra-right white supremacist mob that stormed the Capitol last week, AOC referred t… https://t.co/HiJmrT9uwA",AOC
1/16/2021 19:11,1.35052E+18,RT @gardenchae: everyday you get on here and tweet ur little tweets instead of actually doing something. but you already stopped saying med…,AOC
1/16/2021 19:11,1.35052E+18,@GKatkus @TheSwitchFrog @jbzy @LordVonFordham @PhotoMojoEye @AOC doesn't matter. the woman isn't forced to have a l… https://t.co/NNu2geUXbP,AOC
1/16/2021 19:11,1.35052E+18,"RT @AOC: Hey Sen @HawleyMO, I hate to break it to you, but this is, in fact, you.

You raised your fist in solidarity with white supremacis…",AOC
1/16/2021 19:11,1.35052E+18,@AOC You vouching for someone lol hahaha what a joke,AOC
1/16/2021 19:11,1.35052E+18,@LalalaSomerset @Django7 @Mmmmmmichell @AOC It's a punishment for a the most horrible crimes,AOC
1/16/2021 19:11,1.35052E+18,"@KeightisGreight @JudgeShadow @AOC If I must be a bit critical, death penality should be abolished on ordinary crim… https://t.co/3V0aeSnbEI",AOC
1/16/2021 19:11,1.35052E+18,@AOC That would actually be #ProLife,AOC
1/16/2021 19:11,1.35052E+18,@AOC Just to stop anyone else getting a presidential hard on is as good a reason as any to abolish it.,AOC
1/16/2021 19:11,1.35052E+18,"@kthalps @scapelliti Please, I have never argued that Jimmy should not go on Fox. Fox is perfect for him. It’s wher… https://t.co/ORUr7gYtcN",AOC
1/16/2021 19:11,1.35052E+18,@AOC Go off sis. Read them their rights! We’re all behind you. 😘,AOC
1/16/2021 19:11,1.35052E+18,@YairNavarrete @daviddoel @AOC @jimmy_dore Lmaooo. Cenk interviewed AOC.  I know people in that district and i told… https://t.co/Mnf4nqZhSR,AOC
1/16/2021 19:11,1.35052E+18,"RT @davidmweissman: Question for @AOC and @IlhanMN, by any chance, was it @laurenboebert or @mtgreenee who organized the tours of the #Capi…",AOC
1/16/2021 19:11,1.35052E+18,@shoe0nhead @Xpropriation @BronxEnigma To me it's because people like Dore and Brianna Grey Joy have actively gone… https://t.co/UoGzPQoiiJ,AOC
1/16/2021 19:11,1.35052E+18,"@bigbacon20 @SloneKandy @Quality_JWC @PhotoMojoEye @AOC So if they put out a law that said abortion isn’t banned, i… https://t.co/Agb9gXuLjU",AOC
1/16/2021 19:11,1.35052E+18,@hunterw @AOC Significant responsibility.,AOC
1/16/2021 19:11,1.35052E+18,"RT @AOC: Hey Sen @HawleyMO, I hate to break it to you, but this is, in fact, you.

You raised your fist in solidarity with white supremacis…",AOC
1/16/2021 19:11,1.35052E+18,"@AOC @SalvadorL Official Casing The Joint Tours brought to you by the party of ""law and order"".",AOC
1/16/2021 19:11,1.35052E+18,RT @ReesusP: @DeanBrowningPA @AOC https://t.co/DydeDSybHf,AOC
1/16/2021 19:11,1.35052E+18,"Shut up with the victimization shit.

He murdered 3 women. Deserves the death penalty for murder. 

@AOC  wants to… https://t.co/lco8tiETbt",AOC
1/16/2021 19:11,1.35052E+18,@JStein_WaPo @GravelInstitute @AOC #2KMonthly,AOC
1/16/2021 19:11,1.35052E+18,RT @planoldtired: @davidmweissman @AOC @IlhanMN @laurenboebert @mtgreenee I suspect the FBI and other law enforcement will work their way u…,AOC
1/16/2021 19:11,1.35052E+18,RT @nycsouthpaw: The Architect of the Capitol’s staff put together a long article based on interviews with members of each of their departm…,AOC
1/16/2021 19:11,1.35052E+18,"RT @davidmweissman: Question for @AOC and @IlhanMN, by any chance, was it @laurenboebert or @mtgreenee who organized the tours of the #Capi…",AOC
1/16/2021 19:11,1.35052E+18,@AOC Do you condemn the Rioting &amp; Looting last year?,AOC
1/16/2021 19:11,1.35052E+18,@clkerst @JHWeissmann No the 600 wasn't already deposited for a lot of people. And why are you going off deposit ti… https://t.co/j0LkCdg7ZS,AOC
1/16/2021 19:11,1.35052E+18,"@ignored_the @ReportsDaNews @TheClearCider @AOC I absolutely agree, that wasn't my point.  My point is our lawmaker… https://t.co/GYHsGIgIN2",AOC
1/16/2021 19:11,1.35052E+18,"RT @AOC: Hey Sen @HawleyMO, I hate to break it to you, but this is, in fact, you.

You raised your fist in solidarity with white supremacis…",AOC
1/16/2021 19:11,1.35052E+18,RT @firefire100: i am not an aoc fan but that is not a dumb or ignorant woman and boebert WISHES she could form complete thoughts the same…,AOC
1/16/2021 19:11,1.35052E+18,@HughJassTweet @TDCMarketing1 @RealCarlAllen @AOC @HawleyMO In case you missed it. The troops and razor wire are in… https://t.co/n1cykw8Ozq,AOC
1/16/2021 19:11,1.35052E+18,@AOC Reserve the death penalty for elected officials found guilty of sedition. No one else.,AOC
1/16/2021 19:11,1.35052E+18,@BrianNoone1 @WyattWillWW1 @jimmy_dore @ryangrim @J_ManPrime21 @AOC @YouTube Yea cuz when you don’t agree with facts just ignore it,AOC
1/16/2021 19:11,1.35052E+18,"RT @VICE: “Many, many members of Congress were almost murdered,” Rep. Ocasio-Cortez said. “Many congressional staffers were almost killed.”…",AOC
1/16/2021 19:11,1.35052E+18,@Dilzylla @SloneKandy @Quality_JWC @PhotoMojoEye @AOC the regulations me and many support are very very light. like… https://t.co/bNvNeo0j4T,AOC
1/16/2021 19:11,1.35052E+18,In big 2021 men are still playing God https://t.co/DOxGrpPNle,AOC
1/16/2021 19:11,1.35052E+18,"@Jim_Jordan Dem party are looking more &amp; more like Rulers
Please for Gods sake, @senatemajldr needs to do what we r… https://t.co/ovKztojtQj",AOC
